stock,maxPreds,maxPreds3
20,1,34
30,2,51
40,2,53
50,5,55
60,3,35
70,4,46
80,2,26
90,4,14
100,3,23
110,4,32
20,2,34
30,3,59
40,6,54
50,4,34
60,2,45
70,5,29
80,4,23
90,2,25
100,4,28
110,2,16
20,1,40
30,1,59
40,2,47
50,8,61
60,4,34
70,2,35
80,2,34
90,2,14
100,2,19
110,4,23
20,0,1
30,1,44
40,2,54
50,3,47
60,3,35
70,5,49
80,2,24
90,3,24
100,2,18
110,4,8
20,3,25
30,2,55
40,3,37
50,2,40
60,2,61
70,2,45
80,3,24
90,2,13
100,4,27
110,2,25
20,1,14
30,2,45
40,3,39
50,2,36
60,2,44
70,4,46
80,3,10
90,3,40
100,2,25
110,2,2
20,1,24
30,2,46
40,3,44
50,3,46
60,3,41
70,5,28
80,2,23
90,2,29
100,5,19
110,2,21
20,2,31
30,2,43
40,4,60
50,4,40
60,6,42
70,4,41
80,3,44
90,2,29
100,2,10
110,2,19
20,1,31
30,3,56
40,2,42
50,4,55
60,3,50
70,4,35
80,3,25
90,2,21
100,3,26
110,3,11
20,5,33
30,2,51
40,2,65
50,2,2
60,4,45
70,2,43
80,4,41
90,2,33
100,2,32
110,2,19
20,1,32
30,2,51
40,4,55
50,4,48
60,3,26
70,3,39
80,3,22
90,4,29
100,4,25
110,4,23
20,0,37
30,4,47
40,4,47
50,2,52
60,4,50
70,2,53
80,2,42
90,4,26
100,4,18
110,2,7
20,1,27
30,1,45
40,2,46
50,5,60
60,3,42
70,4,34
80,3,16
90,4,16
100,2,40
110,2,8
20,2,44
30,2,28
40,2,48
50,1,57
60,4,54
70,2,2
80,4,6
90,2,23
100,5,18
110,1,21
20,0,20
30,5,48
40,6,38
50,4,54
60,4,51
70,4,47
80,2,41
90,4,27
100,2,22
110,2,23
20,1,42
30,2,50
40,4,49
50,5,43
60,4,49
70,4,26
80,2,41
90,4,20
100,2,35
110,2,16
20,2,38
30,1,48
40,2,44
50,6,51
60,2,26
70,4,34
80,2,2
90,2,33
100,4,21
110,4,17
20,2,2
30,2,58
40,2,61
50,2,50
60,2,49
70,4,15
80,6,35
90,5,24
100,4,23
110,2,22
20,3,18
30,2,50
40,2,49
50,4,46
60,4,47
70,6,39
80,6,43
90,2,30
100,3,23
110,2,25
